date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:54	89476/89476	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2001:05:20%20GMT	https://ifrp.it/assets/vendor/jquery/jquery.min.js	C:/ifrp/ifrp/ifrp.it/assets/vendor/jquery/jquery.min.js	(from https://ifrp.it/)
21:47:54	84378/84378	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2001:05:26%20GMT	https://ifrp.it/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/ifrp/ifrp/ifrp.it/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://ifrp.it/)
21:47:54	2532/2532	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2001:05:21%20GMT	https://ifrp.it/assets/vendor/jquery.easing/jquery.easing.min.js	C:/ifrp/ifrp/ifrp.it/assets/vendor/jquery.easing/jquery.easing.min.js	(from https://ifrp.it/)
21:47:55	4855/4855	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2001:05:22%20GMT	https://ifrp.it/assets/vendor/php-email-form/validate.js	C:/ifrp/ifrp/ifrp.it/assets/vendor/php-email-form/validate.js	(from https://ifrp.it/)
21:47:55	9028/9028	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2001:05:23%20GMT	https://ifrp.it/assets/vendor/waypoints/jquery.waypoints.min.js	C:/ifrp/ifrp/ifrp.it/assets/vendor/waypoints/jquery.waypoints.min.js	(from https://ifrp.it/)
21:47:55	2406/2406	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2001:05:19%20GMT	https://ifrp.it/assets/vendor/counterup/counterup.min.js	C:/ifrp/ifrp/ifrp.it/assets/vendor/counterup/counterup.min.js	(from https://ifrp.it/)
21:47:56	35445/35445	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2001:05:19%20GMT	https://ifrp.it/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/ifrp/ifrp/ifrp.it/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://ifrp.it/)
21:47:56	15022/15022	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2001:05:22%20GMT	https://ifrp.it/assets/vendor/venobox/venobox.min.js	C:/ifrp/ifrp/ifrp.it/assets/vendor/venobox/venobox.min.js	(from https://ifrp.it/)
21:47:56	44342/44342	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2001:05:21%20GMT	https://ifrp.it/assets/vendor/owl.carousel/owl.carousel.min.js	C:/ifrp/ifrp/ifrp.it/assets/vendor/owl.carousel/owl.carousel.min.js	(from https://ifrp.it/)
21:47:56	5927/5927	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2001:04:53%20GMT	https://ifrp.it/assets/js/main.js	C:/ifrp/ifrp/ifrp.it/assets/js/main.js	(from https://ifrp.it/)
21:48:01	273536/273536	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Apr%202021%2001:05:29%20GMT	https://ifrp.it/assets/vendor/boxicons/fonts/boxicons.eot	C:/ifrp/ifrp/ifrp.it/assets/vendor/boxicons/fonts/boxicons.eot	(from https://ifrp.it/assets/vendor/boxicons/css/boxicons.min.css)
21:48:02	537868/537868	---M--	200	added ('OK')	font/woff2	date:Mon,%2026%20Apr%202021%2001:05:30%20GMT	https://ifrp.it/assets/vendor/icofont/fonts/icofont.woff2	C:/ifrp/ifrp/ifrp.it/assets/vendor/icofont/fonts/icofont.woff2	(from https://ifrp.it/assets/vendor/icofont/icofont.min.css)
21:48:02	645604/645604	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Apr%202021%2001:05:30%20GMT	https://ifrp.it/assets/vendor/icofont/fonts/icofont.woff	C:/ifrp/ifrp/ifrp.it/assets/vendor/icofont/fonts/icofont.woff	(from https://ifrp.it/assets/vendor/icofont/icofont.min.css)
21:48:02	93260/93260	---M--	200	added ('OK')	font/woff2	date:Mon,%2026%20Apr%202021%2001:05:29%20GMT	https://ifrp.it/assets/vendor/boxicons/fonts/boxicons.woff2	C:/ifrp/ifrp/ifrp.it/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://ifrp.it/assets/vendor/boxicons/css/boxicons.min.css)
21:48:03	26166620/26166620	---M--	200	added ('OK')	image/gif	date:Sun,%2026%20Feb%202023%2002:03:28%20GMT	https://cdn.ifrp.it/std/logo7animato.gif	C:/ifrp/ifrp/cdn.ifrp.it/std/logo7animato.gif	(from https://ifrp.it/)
21:48:04	273444/273444	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Apr%202021%2001:05:29%20GMT	https://ifrp.it/assets/vendor/boxicons/fonts/boxicons.woff	C:/ifrp/ifrp/ifrp.it/assets/vendor/boxicons/fonts/boxicons.woff	(from https://ifrp.it/assets/vendor/boxicons/css/boxicons.min.css)
21:48:04	273368/273368	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Apr%202021%2001:05:29%20GMT	https://ifrp.it/assets/vendor/boxicons/fonts/boxicons.ttf	C:/ifrp/ifrp/ifrp.it/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://ifrp.it/assets/vendor/boxicons/css/boxicons.min.css)
21:48:04	4976/4976	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2001:05:31%20GMT	https://ifrp.it/assets/vendor/owl.carousel/assets/owl.video.play.png	C:/ifrp/ifrp/ifrp.it/assets/vendor/owl.carousel/assets/owl.video.play.png	(from https://ifrp.it/assets/vendor/owl.carousel/assets/owl.carousel.min.css)
21:48:04	975365/975365	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2001:05:29%20GMT	https://ifrp.it/assets/vendor/boxicons/fonts/boxicons.svg?	C:/ifrp/ifrp/ifrp.it/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://ifrp.it/assets/vendor/boxicons/css/boxicons.min.css)
21:48:04	35340/35340	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Apr%202021%2001:04:49%20GMT	https://ifrp.it/assets/ifrp.ttf	C:/ifrp/ifrp/ifrp.it/assets/ifrp.ttf	(from https://ifrp.it/assets/css/style.css)
21:48:08	5143505/5143505	---M--	200	added ('OK')	image/gif	date:Mon,%2011%20Apr%202022%2012:50:32%20GMT	https://cdn.ifrp.it/std/ifrp_v6_animato.gif	C:/ifrp/ifrp/cdn.ifrp.it/std/ifrp_v6_animato.gif	(from https://ifrp.it/assets/css/style.css)
